time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-12 00:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,13,4.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 01:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,35,3.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 02:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,11,2.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 03:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,0,2.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 04:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,31,2.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 05:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,9,1.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 06:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,97,1.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 07:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,18.1,gti,100,2.2,0.0,0.0,0.0,0.82,0.12170439999999999,1.0,0.12170439999999999
2026-04-12 08:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,71.1,gti,68,3.4,0.0,0.0,0.0,0.82,0.47807639999999985,1.0,0.47807639999999985
2026-04-12 09:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,173.6,gti,100,5.1,0.0,0.0,0.0,0.82,1.1672863999999998,1.0,1.1672863999999998
2026-04-12 10:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,244.1,gti,100,6.7,0.0,0.0,0.0,0.82,1.6413283999999995,1.0,1.6413283999999995
2026-04-12 11:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,250.8,gti,100,8.4,0.0,0.0,0.0,0.82,1.6863792,1.0,1.6863792
2026-04-12 12:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,411.7,gti,82,9.9,0.0,0.0,0.0,0.82,2.7682708,1.0,2.7682708
2026-04-12 13:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,491.9,gti,65,11.6,0.0,0.0,0.0,0.82,3.3075355999999996,1.0,3.3075355999999996
2026-04-12 14:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,446.7,gti,97,12.3,0.0,0.0,0.0,0.82,3.0036107999999992,1.0,3.0036107999999992
2026-04-12 15:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,315.9,gti,93,12.8,0.0,0.0,0.0,0.82,2.124111599999999,1.0,2.124111599999999
2026-04-12 16:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,351.7,gti,93,13.4,0.0,0.0,0.0,0.82,2.3648308,1.0,2.3648308
2026-04-12 17:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,294.3,gti,97,13.5,0.0,0.0,0.0,0.82,1.9788731999999998,1.0,1.9788731999999998
2026-04-12 18:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,144.0,gti,100,13.1,0.0,0.0,0.0,0.82,0.9682559999999998,1.0,0.9682559999999998
2026-04-12 19:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,50.1,gti,100,12.7,0.0,0.0,0.0,0.82,0.33687239999999996,1.0,0.33687239999999996
2026-04-12 20:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,5.8,gti,97,11.8,0.0,0.0,0.0,0.82,0.03899919999999999,1.0,0.03899919999999999
2026-04-12 21:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,94,10.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 22:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,100,10.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-12 23:00:00,2026-04-12,2026-04-12 06:08:00,2026-04-12 19:41:00,0.0,gti,84,9.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
