time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-02 00:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,100,5.3,0.6,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 01:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,100,5.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 02:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,100,4.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 03:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,87,5.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 04:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,100,5.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 05:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,93,5.7,0.1,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 06:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,100,5.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 07:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,2.4,gti,91,5.6,0.0,0.0,0.0,0.82,0.016137599999999995,1.0,0.016137599999999995
2026-04-02 08:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,33.7,gti,86,5.5,0.0,0.0,0.0,0.82,0.22659879999999996,1.0,0.22659879999999996
2026-04-02 09:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,83.2,gti,90,5.9,0.0,0.0,0.0,0.82,0.5594368,1.0,0.5594368
2026-04-02 10:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,182.1,gti,83,6.7,0.0,0.0,0.0,0.82,1.2244403999999998,1.0,1.2244403999999998
2026-04-02 11:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,275.8,gti,88,8.2,0.0,0.0,0.0,0.82,1.8544791999999997,1.0,1.8544791999999997
2026-04-02 12:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,369.9,gti,91,9.2,0.0,0.0,0.0,0.82,2.487207599999999,1.0,2.487207599999999
2026-04-02 13:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,502.4,gti,86,10.3,0.0,0.0,0.0,0.82,3.3781375999999987,1.0,3.3781375999999987
2026-04-02 14:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,563.2,gti,81,10.9,0.0,0.0,0.0,0.82,3.7869568,1.0,3.7869568
2026-04-02 15:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,582.7,gti,58,11.6,0.0,0.0,0.0,0.82,3.9180747999999994,1.0,3.9180747999999994
2026-04-02 16:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,617.6,gti,54,12.2,0.0,0.0,0.0,0.82,4.152742399999999,1.0,4.152742399999999
2026-04-02 17:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,441.8,gti,83,12.3,0.0,0.0,0.0,0.82,2.9706631999999997,1.0,2.9706631999999997
2026-04-02 18:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,232.3,gti,89,11.9,0.0,0.0,0.0,0.82,1.5619851999999999,1.0,1.5619851999999999
2026-04-02 19:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,55.1,gti,98,11.3,0.0,0.0,0.0,0.82,0.3704924,1.0,0.3704924
2026-04-02 20:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,3.2,gti,98,10.1,0.0,0.0,0.0,0.82,0.0215168,1.0,0.0215168
2026-04-02 21:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,99,9.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 22:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,87,8.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-02 23:00:00,2026-04-02,2026-04-02 06:29:00,2026-04-02 19:26:00,0.0,gti,85,7.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
