time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-02-18 00:00:00,2026-02-18,0.0,gti,97,0.5,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 01:00:00,2026-02-18,0.0,gti,100,1.0,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 02:00:00,2026-02-18,0.0,gti,100,0.7,0.1,0.07,0.04,0.82,0.0,1.0,0.0
2026-02-18 03:00:00,2026-02-18,0.0,gti,100,0.9,0.4,0.28,0.04,0.82,0.0,1.0,0.0
2026-02-18 04:00:00,2026-02-18,0.0,gti,80,1.0,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 05:00:00,2026-02-18,0.0,gti,14,0.4,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 06:00:00,2026-02-18,0.0,gti,13,0.0,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 07:00:00,2026-02-18,0.0,gti,0,-0.5,0.0,0.0,0.04,0.82,0.0,1.0,0.0
2026-02-18 08:00:00,2026-02-18,39.2,gti,0,-0.2,0.0,0.0,0.04,0.82,0.2635808,1.0,0.2635808
2026-02-18 09:00:00,2026-02-18,167.5,gti,6,0.8,0.0,0.0,0.04,0.82,1.1262699999999999,1.0,1.1262699999999999
2026-02-18 10:00:00,2026-02-18,296.7,gti,28,1.7,0.0,0.0,0.03,0.82,1.9950107999999995,1.0,1.9950107999999995
2026-02-18 11:00:00,2026-02-18,396.5,gti,33,2.3,0.0,0.0,0.03,0.82,2.666066,1.0,2.666066
2026-02-18 12:00:00,2026-02-18,427.7,gti,67,2.5,0.0,0.0,0.03,0.82,2.875854799999999,1.0,2.875854799999999
2026-02-18 13:00:00,2026-02-18,399.2,gti,63,2.9,0.0,0.0,0.02,0.82,2.6842208,1.0,2.6842208
2026-02-18 14:00:00,2026-02-18,362.0,gti,23,2.6,0.0,0.0,0.02,0.82,2.4340879999999996,1.0,2.4340879999999996
2026-02-18 15:00:00,2026-02-18,308.3,gti,65,2.7,0.0,0.0,0.02,0.82,2.0730092,1.0,2.0730092
2026-02-18 16:00:00,2026-02-18,198.2,gti,61,2.5,0.0,0.0,0.02,0.82,1.3326967999999997,1.0,1.3326967999999997
2026-02-18 17:00:00,2026-02-18,67.2,gti,18,1.5,0.0,0.0,0.02,0.82,0.45185280000000005,1.0,0.45185280000000005
2026-02-18 18:00:00,2026-02-18,1.5,gti,29,0.6,0.0,0.0,0.02,0.82,0.010085999999999998,1.0,0.010085999999999998
2026-02-18 19:00:00,2026-02-18,0.0,gti,0,-0.1,0.0,0.0,0.02,0.82,0.0,1.0,0.0
2026-02-18 20:00:00,2026-02-18,0.0,gti,0,-0.7,0.0,0.0,0.02,0.82,0.0,1.0,0.0
2026-02-18 21:00:00,2026-02-18,0.0,gti,100,-1.0,0.0,0.0,0.02,0.82,0.0,1.0,0.0
2026-02-18 22:00:00,2026-02-18,0.0,gti,5,-1.3,0.0,0.0,0.02,0.82,0.0,1.0,0.0
2026-02-18 23:00:00,2026-02-18,0.0,gti,18,-1.4,0.0,0.0,0.02,0.82,0.0,1.0,0.0
