time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-24 00:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,9.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 01:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,8.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 02:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,8.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 03:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,7.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 04:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,7.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 05:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,6.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 06:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,6.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 07:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,35.6,gti,0,7.4,0.0,0.0,0.0,0.82,0.23937439999999996,1.0,0.23937439999999996
2026-04-24 08:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,76.5,gti,0,9.1,0.0,0.0,0.0,0.82,0.5143859999999999,1.0,0.5143859999999999
2026-04-24 09:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,226.3,gti,0,11.3,0.0,0.0,0.0,0.82,1.5216411999999997,1.0,1.5216411999999997
2026-04-24 10:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,423.1,gti,0,13.1,0.0,0.0,0.0,0.82,2.8449243999999996,1.0,2.8449243999999996
2026-04-24 11:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,618.2,gti,10,14.6,0.0,0.0,0.0,0.82,4.1567768,1.0,4.1567768
2026-04-24 12:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,776.5,gti,31,15.9,0.0,0.0,0.0,0.82,5.221185999999999,1.0,5.221185999999999
2026-04-24 13:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,897.3,gti,45,17.2,0.0,0.0,0.0,0.82,6.033445199999999,1.0,6.033445199999999
2026-04-24 14:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,956.8,gti,26,18.1,0.0,0.0,0.0,0.82,6.433523199999999,1.0,6.433523199999999
2026-04-24 15:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,947.2,gti,4,18.5,0.0,0.0,0.0,0.82,6.368972799999999,1.0,6.368972799999999
2026-04-24 16:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,863.6,gti,11,18.5,0.0,0.0,0.0,0.82,5.8068463999999995,1.0,5.8068463999999995
2026-04-24 17:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,708.2,gti,0,18.1,0.0,0.0,0.0,0.82,4.7619368,1.0,4.7619368
2026-04-24 18:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,491.3,gti,0,17.1,0.0,0.0,0.0,0.82,3.3035011999999995,1.0,3.3035011999999995
2026-04-24 19:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,269.7,gti,0,16.0,0.0,0.0,0.0,0.82,1.8134627999999997,1.0,1.8134627999999997
2026-04-24 20:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,55.0,gti,0,13.7,0.0,0.0,0.0,0.82,0.3698199999999999,1.0,0.3698199999999999
2026-04-24 21:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,11.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 22:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,10.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-24 23:00:00,2026-04-24,2026-04-24 05:44:00,2026-04-24 19:59:00,0.0,gti,0,9.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
