time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-16 00:00:00,2026-03-16,0.0,gti,71,6.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 01:00:00,2026-03-16,0.0,gti,100,5.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 02:00:00,2026-03-16,0.0,gti,100,5.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 03:00:00,2026-03-16,0.0,gti,100,5.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 04:00:00,2026-03-16,0.0,gti,100,5.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 05:00:00,2026-03-16,0.0,gti,100,5.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 06:00:00,2026-03-16,0.0,gti,100,6.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 07:00:00,2026-03-16,16.1,gti,100,6.3,0.0,0.0,0.0,0.82,0.10825639999999999,1.0,0.10825639999999999
2026-03-16 08:00:00,2026-03-16,90.5,gti,96,7.1,0.0,0.0,0.0,0.82,0.6085219999999999,1.0,0.6085219999999999
2026-03-16 09:00:00,2026-03-16,172.6,gti,100,7.8,0.0,0.0,0.0,0.82,1.1605623999999999,1.0,1.1605623999999999
2026-03-16 10:00:00,2026-03-16,153.1,gti,100,7.3,0.3,0.0,0.0,0.82,1.0294443999999998,1.0,1.0294443999999998
2026-03-16 11:00:00,2026-03-16,193.0,gti,100,7.3,0.6,0.0,0.0,0.82,1.2977319999999999,1.0,1.2977319999999999
2026-03-16 12:00:00,2026-03-16,315.1,gti,100,8.3,0.0,0.0,0.0,0.82,2.1187324,1.0,2.1187324
2026-03-16 13:00:00,2026-03-16,327.6,gti,100,9.1,0.0,0.0,0.0,0.82,2.2027824,1.0,2.2027824
2026-03-16 14:00:00,2026-03-16,592.4,gti,99,10.8,0.0,0.0,0.0,0.82,3.9832975999999993,1.0,3.9832975999999993
2026-03-16 15:00:00,2026-03-16,448.2,gti,99,10.9,0.0,0.0,0.0,0.82,3.0136967999999995,1.0,3.0136967999999995
2026-03-16 16:00:00,2026-03-16,148.0,gti,100,10.9,0.0,0.0,0.0,0.82,0.9951519999999998,1.0,0.9951519999999998
2026-03-16 17:00:00,2026-03-16,90.7,gti,100,10.3,0.0,0.0,0.0,0.82,0.6098667999999999,1.0,0.6098667999999999
2026-03-16 18:00:00,2026-03-16,20.2,gti,100,9.1,0.0,0.0,0.0,0.82,0.13582479999999997,1.0,0.13582479999999997
2026-03-16 19:00:00,2026-03-16,0.0,gti,100,7.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 20:00:00,2026-03-16,0.0,gti,69,6.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 21:00:00,2026-03-16,0.0,gti,100,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 22:00:00,2026-03-16,0.0,gti,0,4.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-16 23:00:00,2026-03-16,0.0,gti,100,3.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
