time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-02 00:00:00,2026-03-02,0.0,gti,100,6.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 01:00:00,2026-03-02,0.0,gti,96,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 02:00:00,2026-03-02,0.0,gti,94,5.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 03:00:00,2026-03-02,0.0,gti,53,4.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 04:00:00,2026-03-02,0.0,gti,0,3.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 05:00:00,2026-03-02,0.0,gti,0,3.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 06:00:00,2026-03-02,0.0,gti,0,2.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 07:00:00,2026-03-02,3.1,gti,0,2.0,0.0,0.0,0.0,0.82,0.020844399999999996,1.0,0.020844399999999996
2026-03-02 08:00:00,2026-03-02,44.4,gti,0,3.3,0.0,0.0,0.0,0.82,0.29854559999999997,1.0,0.29854559999999997
2026-03-02 09:00:00,2026-03-02,177.8,gti,0,5.1,0.0,0.0,0.0,0.82,1.1955272,1.0,1.1955272
2026-03-02 10:00:00,2026-03-02,354.7,gti,0,7.2,0.0,0.0,0.0,0.82,2.3850027999999996,1.0,2.3850027999999996
2026-03-02 11:00:00,2026-03-02,524.5,gti,0,9.2,0.0,0.0,0.0,0.82,3.5267379999999995,1.0,3.5267379999999995
2026-03-02 12:00:00,2026-03-02,649.1,gti,5,10.2,0.0,0.0,0.0,0.82,4.364548399999999,1.0,4.364548399999999
2026-03-02 13:00:00,2026-03-02,705.9,gti,0,11.4,0.0,0.0,0.0,0.82,4.746471599999999,1.0,4.746471599999999
2026-03-02 14:00:00,2026-03-02,713.6,gti,0,12.1,0.0,0.0,0.0,0.82,4.798246399999999,1.0,4.798246399999999
2026-03-02 15:00:00,2026-03-02,629.1,gti,0,12.2,0.0,0.0,0.0,0.82,4.230068399999999,1.0,4.230068399999999
2026-03-02 16:00:00,2026-03-02,468.6,gti,0,11.9,0.0,0.0,0.0,0.82,3.1508664,1.0,3.1508664
2026-03-02 17:00:00,2026-03-02,243.4,gti,0,11.0,0.0,0.0,0.0,0.82,1.6366215999999998,1.0,1.6366215999999998
2026-03-02 18:00:00,2026-03-02,22.6,gti,0,9.1,0.0,0.0,0.0,0.82,0.1519624,1.0,0.1519624
2026-03-02 19:00:00,2026-03-02,0.0,gti,0,7.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 20:00:00,2026-03-02,0.0,gti,0,7.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 21:00:00,2026-03-02,0.0,gti,0,5.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 22:00:00,2026-03-02,0.0,gti,0,4.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-02 23:00:00,2026-03-02,0.0,gti,0,3.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
