time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-05-13 00:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,15,4.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 01:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,6,3.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 02:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,0,3.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 03:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,0,3.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 04:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,0,3.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 05:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,0,2.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 06:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,11.6,gti,0,2.5,0.0,0.0,0.0,0.82,0.07799839999999998,1.0,0.07799839999999998
2026-05-13 07:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,55.5,gti,0,4.2,0.0,0.0,0.0,0.82,0.37318199999999996,1.0,0.37318199999999996
2026-05-13 08:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,98.9,gti,0,6.3,0.0,0.0,0.0,0.82,0.6650035999999999,1.0,0.6650035999999999
2026-05-13 09:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,275.9,gti,0,8.3,0.0,0.0,0.0,0.82,1.8551515999999997,1.0,1.8551515999999997
2026-05-13 10:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,470.6,gti,7,10.0,0.0,0.0,0.0,0.82,3.1643144,1.0,3.1643144
2026-05-13 11:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,593.3,gti,76,11.1,0.0,0.0,0.0,0.82,3.9893491999999986,1.0,3.9893491999999986
2026-05-13 12:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,606.5,gti,19,12.1,0.0,0.0,0.0,0.82,4.078106,1.0,4.078106
2026-05-13 13:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,623.1,gti,96,12.5,0.0,0.0,0.0,0.82,4.189724399999999,1.0,4.189724399999999
2026-05-13 14:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,432.9,gti,100,12.6,0.0,0.0,0.0,0.82,2.910819599999999,1.0,2.910819599999999
2026-05-13 15:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,270.4,gti,100,12.3,0.0,0.0,0.0,0.82,1.8181695999999996,1.0,1.8181695999999996
2026-05-13 16:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,263.2,gti,100,12.6,0.0,0.0,0.0,0.82,1.7697567999999997,1.0,1.7697567999999997
2026-05-13 17:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,312.5,gti,64,13.2,0.0,0.0,0.0,0.82,2.10125,1.0,2.10125
2026-05-13 18:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,270.5,gti,76,13.2,0.0,0.0,0.0,0.82,1.8188419999999996,1.0,1.8188419999999996
2026-05-13 19:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,216.8,gti,85,13.0,0.0,0.0,0.0,0.82,1.4577631999999998,1.0,1.4577631999999998
2026-05-13 20:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,66.9,gti,40,11.8,0.0,0.0,0.0,0.82,0.44983559999999995,1.0,0.44983559999999995
2026-05-13 21:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,2.9,gti,0,8.8,0.0,0.0,0.0,0.82,0.019499599999999995,1.0,0.019499599999999995
2026-05-13 22:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,36,7.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-05-13 23:00:00,2026-05-13,2026-05-13 05:13:00,2026-05-13 20:27:00,0.0,gti,62,7.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
