time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-20 00:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,0,4.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 01:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,4,3.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 02:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,14,3.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 03:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,5,3.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 04:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,0,2.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 05:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,0,2.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 06:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,0,2.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 07:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,25.7,gti,0,2.3,0.0,0.0,0.0,0.82,0.17280679999999998,1.0,0.17280679999999998
2026-03-20 08:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,94.1,gti,0,4.5,0.0,0.0,0.0,0.82,0.6327283999999999,1.0,0.6327283999999999
2026-03-20 09:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,269.2,gti,5,7.0,0.0,0.0,0.0,0.82,1.8101007999999996,1.0,1.8101007999999996
2026-03-20 10:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,467.0,gti,2,9.0,0.0,0.0,0.0,0.82,3.1401079999999997,1.0,3.1401079999999997
2026-03-20 11:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,630.5,gti,74,10.7,0.0,0.0,0.0,0.82,4.239481999999999,1.0,4.239481999999999
2026-03-20 12:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,750.7,gti,33,11.7,0.0,0.0,0.0,0.82,5.047706799999999,1.0,5.047706799999999
2026-03-20 13:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,700.3,gti,41,11.7,0.0,0.0,0.0,0.82,4.708817199999999,1.0,4.708817199999999
2026-03-20 14:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,783.5,gti,83,12.9,0.0,0.0,0.0,0.82,5.268254,1.0,5.268254
2026-03-20 15:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,663.1,gti,28,12.5,0.0,0.0,0.0,0.82,4.458684399999999,1.0,4.458684399999999
2026-03-20 16:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,554.1,gti,28,12.2,0.0,0.0,0.0,0.82,3.7257683999999998,1.0,3.7257683999999998
2026-03-20 17:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,298.0,gti,92,11.8,0.0,0.0,0.0,0.82,2.0037519999999995,1.0,2.0037519999999995
2026-03-20 18:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,37.1,gti,99,10.9,0.0,0.0,0.0,0.82,0.24946039999999997,1.0,0.24946039999999997
2026-03-20 19:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,98,9.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 20:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,97,8.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 21:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,93,7.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 22:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,93,7.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-20 23:00:00,2026-03-20,2026-03-20 05:56:00,2026-03-20 18:06:00,0.0,gti,98,6.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
