time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-12 00:00:00,2026-03-12,0.0,gti,100,7.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 01:00:00,2026-03-12,0.0,gti,0,6.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 02:00:00,2026-03-12,0.0,gti,54,6.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 03:00:00,2026-03-12,0.0,gti,61,6.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 04:00:00,2026-03-12,0.0,gti,13,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 05:00:00,2026-03-12,0.0,gti,34,4.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 06:00:00,2026-03-12,0.0,gti,100,3.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 07:00:00,2026-03-12,13.0,gti,80,4.4,0.0,0.0,0.0,0.82,0.08741199999999999,1.0,0.08741199999999999
2026-03-12 08:00:00,2026-03-12,80.5,gti,100,6.4,0.0,0.0,0.0,0.82,0.5412819999999999,1.0,0.5412819999999999
2026-03-12 09:00:00,2026-03-12,159.4,gti,100,9.5,0.0,0.0,0.0,0.82,1.0718056,1.0,1.0718056
2026-03-12 10:00:00,2026-03-12,164.1,gti,100,10.2,0.0,0.0,0.0,0.82,1.1034083999999997,1.0,1.1034083999999997
2026-03-12 11:00:00,2026-03-12,335.0,gti,100,11.7,0.0,0.0,0.0,0.82,2.2525399999999998,1.0,2.2525399999999998
2026-03-12 12:00:00,2026-03-12,378.7,gti,100,12.5,0.0,0.0,0.0,0.82,2.5463787999999994,1.0,2.5463787999999994
2026-03-12 13:00:00,2026-03-12,315.7,gti,100,12.9,0.0,0.0,0.0,0.82,2.1227667999999995,1.0,2.1227667999999995
2026-03-12 14:00:00,2026-03-12,249.8,gti,99,12.7,0.0,0.0,0.0,0.82,1.6796552,1.0,1.6796552
2026-03-12 15:00:00,2026-03-12,173.6,gti,100,12.5,0.0,0.0,0.0,0.82,1.1672863999999998,1.0,1.1672863999999998
2026-03-12 16:00:00,2026-03-12,224.6,gti,87,12.3,0.0,0.0,0.0,0.82,1.5102103999999998,1.0,1.5102103999999998
2026-03-12 17:00:00,2026-03-12,143.1,gti,99,11.7,0.0,0.0,0.0,0.82,0.9622043999999998,1.0,0.9622043999999998
2026-03-12 18:00:00,2026-03-12,25.3,gti,100,10.3,0.0,0.0,0.0,0.82,0.17011719999999997,1.0,0.17011719999999997
2026-03-12 19:00:00,2026-03-12,0.0,gti,98,8.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 20:00:00,2026-03-12,0.0,gti,100,7.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 21:00:00,2026-03-12,0.0,gti,82,6.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 22:00:00,2026-03-12,0.0,gti,21,6.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-12 23:00:00,2026-03-12,0.0,gti,0,5.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
