time,pv_kw_pred,step_kwh,irr_wm2,cloud_cover,pr_used,irr_source
2026-02-15 00:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 01:00:00,0.0,0.0,0.0,99,0.82,gti
2026-02-15 02:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 03:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 04:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 05:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 06:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 07:00:00,0.0,0.0,0.0,100,0.82,gti
2026-02-15 08:00:00,0.1291,0.1291,19.2,100,0.82,gti
2026-02-15 09:00:00,0.7181,0.7181,106.8,75,0.82,gti
2026-02-15 10:00:00,1.131,1.131,168.2,100,0.82,gti
2026-02-15 11:00:00,1.4779,1.4779,219.8,100,0.82,gti
2026-02-15 12:00:00,1.0523,1.0523,156.5,100,0.82,gti
2026-02-15 13:00:00,1.3031,1.3031,193.8,100,0.82,gti
2026-02-15 14:00:00,1.2776,1.2776,190.0,94,0.82,gti
2026-02-15 15:00:00,1.3179,1.3179,196.0,87,0.82,gti
2026-02-15 16:00:00,0.9467,0.9467,140.8,97,0.82,gti
2026-02-15 17:00:00,0.2367,0.2367,35.2,63,0.82,gti
2026-02-15 18:00:00,0.0013,0.0013,0.2,65,0.82,gti
2026-02-15 19:00:00,0.0,0.0,0.0,7,0.82,gti
2026-02-15 20:00:00,0.0,0.0,0.0,0,0.82,gti
2026-02-15 21:00:00,0.0,0.0,0.0,64,0.82,gti
2026-02-15 22:00:00,0.0,0.0,0.0,36,0.82,gti
2026-02-15 23:00:00,0.0,0.0,0.0,62,0.82,gti
