time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-11 00:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,100,4.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 01:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,100,4.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 02:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,98,4.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 03:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,62,3.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 04:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,46,2.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 05:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,30,1.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 06:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,56,0.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 07:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,15.7,gti,0,0.8,0.0,0.0,0.0,0.82,0.10556679999999996,1.0,0.10556679999999996
2026-04-11 08:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,62.6,gti,0,2.7,0.0,0.0,0.0,0.82,0.4209224,1.0,0.4209224
2026-04-11 09:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,182.4,gti,0,4.5,0.0,0.0,0.0,0.82,1.2264575999999998,1.0,1.2264575999999998
2026-04-11 10:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,380.0,gti,25,6.4,0.0,0.0,0.0,0.82,2.5551199999999996,1.0,2.5551199999999996
2026-04-11 11:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,580.6,gti,0,8.3,0.0,0.0,0.0,0.82,3.9039543999999995,1.0,3.9039543999999995
2026-04-11 12:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,752.7,gti,19,9.6,0.0,0.0,0.0,0.82,5.0611548,1.0,5.0611548
2026-04-11 13:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,877.9,gti,0,10.6,0.0,0.0,0.0,0.82,5.902999599999999,1.0,5.902999599999999
2026-04-11 14:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,936.9,gti,0,11.4,0.0,0.0,0.0,0.82,6.299715599999999,1.0,6.299715599999999
2026-04-11 15:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,923.2,gti,0,11.9,0.0,0.0,0.0,0.82,6.207596799999999,1.0,6.207596799999999
2026-04-11 16:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,839.3,gti,0,12.1,0.0,0.0,0.0,0.82,5.643453199999999,1.0,5.643453199999999
2026-04-11 17:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,687.0,gti,0,12.1,0.0,0.0,0.0,0.82,4.619388,1.0,4.619388
2026-04-11 18:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,474.9,gti,34,11.1,0.0,0.0,0.0,0.82,3.1932275999999993,1.0,3.1932275999999993
2026-04-11 19:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,224.0,gti,12,10.2,0.0,0.0,0.0,0.82,1.506176,1.0,1.506176
2026-04-11 20:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,23.3,gti,83,8.5,0.0,0.0,0.0,0.82,0.1566692,1.0,0.1566692
2026-04-11 21:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,0,6.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 22:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,0,5.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-11 23:00:00,2026-04-11,2026-04-11 06:10:00,2026-04-11 19:39:00,0.0,gti,0,5.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
