time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-02-27 00:00:00,2026-02-27,0.0,gti,0,2.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 01:00:00,2026-02-27,0.0,gti,0,2.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 02:00:00,2026-02-27,0.0,gti,1,1.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 03:00:00,2026-02-27,0.0,gti,0,1.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 04:00:00,2026-02-27,0.0,gti,10,0.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 05:00:00,2026-02-27,0.0,gti,0,0.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 06:00:00,2026-02-27,0.0,gti,1,0.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 07:00:00,2026-02-27,1.5,gti,0,0.2,0.0,0.0,0.0,0.82,0.010085999999999998,1.0,0.010085999999999998
2026-02-27 08:00:00,2026-02-27,60.0,gti,10,0.5,0.0,0.0,0.0,0.82,0.4034399999999999,1.0,0.4034399999999999
2026-02-27 09:00:00,2026-02-27,181.0,gti,11,1.5,0.0,0.0,0.0,0.82,1.2170439999999998,1.0,1.2170439999999998
2026-02-27 10:00:00,2026-02-27,305.8,gti,9,3.2,0.0,0.0,0.0,0.82,2.0561991999999996,1.0,2.0561991999999996
2026-02-27 11:00:00,2026-02-27,407.5,gti,1,4.8,0.0,0.0,0.0,0.82,2.7400299999999995,1.0,2.7400299999999995
2026-02-27 12:00:00,2026-02-27,466.0,gti,0,6.3,0.0,0.0,0.0,0.82,3.1333839999999995,1.0,3.1333839999999995
2026-02-27 13:00:00,2026-02-27,475.2,gti,0,7.5,0.0,0.0,0.0,0.82,3.1952447999999993,1.0,3.1952447999999993
2026-02-27 14:00:00,2026-02-27,433.8,gti,0,8.5,0.0,0.0,0.0,0.82,2.9168711999999997,1.0,2.9168711999999997
2026-02-27 15:00:00,2026-02-27,346.2,gti,0,8.9,0.0,0.0,0.0,0.82,2.3278487999999995,1.0,2.3278487999999995
2026-02-27 16:00:00,2026-02-27,223.3,gti,0,8.9,0.0,0.0,0.0,0.82,1.5014691999999998,1.0,1.5014691999999998
2026-02-27 17:00:00,2026-02-27,90.8,gti,0,8.2,0.0,0.0,0.0,0.82,0.6105391999999998,1.0,0.6105391999999998
2026-02-27 18:00:00,2026-02-27,7.0,gti,1,7.1,0.0,0.0,0.0,0.82,0.047068,1.0,0.047068
2026-02-27 19:00:00,2026-02-27,0.0,gti,9,6.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 20:00:00,2026-02-27,0.0,gti,25,5.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 21:00:00,2026-02-27,0.0,gti,17,4.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 22:00:00,2026-02-27,0.0,gti,0,4.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-27 23:00:00,2026-02-27,0.0,gti,5,3.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
