time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-28 00:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,98,3.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 01:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,97,3.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 02:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,84,2.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 03:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,2.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 04:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,92,3.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 05:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,2.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 06:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.7,gti,100,2.7,0.0,0.0,0.0,0.82,0.004706799999999999,1.0,0.004706799999999999
2026-03-28 07:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,28.9,gti,100,2.7,0.0,0.0,0.0,0.82,0.19432359999999996,1.0,0.19432359999999996
2026-03-28 08:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,64.5,gti,100,3.0,0.0,0.0,0.0,0.82,0.4336979999999999,1.0,0.4336979999999999
2026-03-28 09:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,65.7,gti,100,3.3,0.0,0.0,0.0,0.82,0.44176679999999996,1.0,0.44176679999999996
2026-03-28 10:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,92.8,gti,99,4.2,0.0,0.0,0.0,0.82,0.6239871999999999,1.0,0.6239871999999999
2026-03-28 11:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,146.3,gti,100,5.2,0.0,0.0,0.0,0.82,0.9837211999999999,1.0,0.9837211999999999
2026-03-28 12:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,195.9,gti,100,5.9,0.0,0.0,0.0,0.82,1.3172316,1.0,1.3172316
2026-03-28 13:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,112.8,gti,100,6.4,0.0,0.0,0.0,0.82,0.7584671999999999,1.0,0.7584671999999999
2026-03-28 14:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,120.9,gti,100,6.8,0.0,0.0,0.0,0.82,0.8129315999999999,1.0,0.8129315999999999
2026-03-28 15:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,105.8,gti,100,6.8,0.0,0.0,0.0,0.82,0.7113991999999999,1.0,0.7113991999999999
2026-03-28 16:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,114.6,gti,100,7.2,0.0,0.0,0.0,0.82,0.7705703999999999,1.0,0.7705703999999999
2026-03-28 17:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,75.9,gti,100,7.5,0.0,0.0,0.0,0.82,0.5103516,1.0,0.5103516
2026-03-28 18:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,23.1,gti,100,7.3,0.0,0.0,0.0,0.82,0.1553244,1.0,0.1553244
2026-03-28 19:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.5,gti,100,6.8,0.0,0.0,0.0,0.82,0.0033619999999999995,1.0,0.0033619999999999995
2026-03-28 20:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,6.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 21:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,6.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 22:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,5.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-28 23:00:00,2026-03-28,2026-03-28 05:39:00,2026-03-28 18:18:00,0.0,gti,100,5.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
