time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-02-24 00:00:00,2026-02-24,0.0,gti,73,5.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 01:00:00,2026-02-24,0.0,gti,13,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 02:00:00,2026-02-24,0.0,gti,0,5.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 03:00:00,2026-02-24,0.0,gti,77,4.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 04:00:00,2026-02-24,0.0,gti,93,5.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 05:00:00,2026-02-24,0.0,gti,100,4.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 06:00:00,2026-02-24,0.0,gti,0,4.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 07:00:00,2026-02-24,0.5,gti,0,3.8,0.0,0.0,0.0,0.82,0.0033619999999999995,1.0,0.0033619999999999995
2026-02-24 08:00:00,2026-02-24,57.3,gti,0,4.5,0.0,0.0,0.0,0.82,0.38528519999999994,1.0,0.38528519999999994
2026-02-24 09:00:00,2026-02-24,191.5,gti,0,5.9,0.0,0.0,0.0,0.82,1.2876459999999998,1.0,1.2876459999999998
2026-02-24 10:00:00,2026-02-24,296.8,gti,60,7.2,0.0,0.0,0.0,0.82,1.9956831999999998,1.0,1.9956831999999998
2026-02-24 11:00:00,2026-02-24,299.8,gti,85,8.1,0.0,0.0,0.0,0.82,2.0158552,1.0,2.0158552
2026-02-24 12:00:00,2026-02-24,301.0,gti,98,8.7,0.0,0.0,0.0,0.82,2.0239239999999996,1.0,2.0239239999999996
2026-02-24 13:00:00,2026-02-24,250.2,gti,100,8.6,0.0,0.0,0.0,0.82,1.6823447999999994,1.0,1.6823447999999994
2026-02-24 14:00:00,2026-02-24,182.5,gti,100,8.9,0.0,0.0,0.0,0.82,1.2271299999999998,1.0,1.2271299999999998
2026-02-24 15:00:00,2026-02-24,127.0,gti,100,8.4,0.0,0.0,0.0,0.82,0.8539479999999998,1.0,0.8539479999999998
2026-02-24 16:00:00,2026-02-24,167.8,gti,51,8.3,0.0,0.0,0.0,0.82,1.1282871999999997,1.0,1.1282871999999997
2026-02-24 17:00:00,2026-02-24,83.8,gti,75,7.4,0.0,0.0,0.0,0.82,0.5634711999999998,1.0,0.5634711999999998
2026-02-24 18:00:00,2026-02-24,3.8,gti,0,6.1,0.0,0.0,0.0,0.82,0.025551199999999996,1.0,0.025551199999999996
2026-02-24 19:00:00,2026-02-24,0.0,gti,0,5.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 20:00:00,2026-02-24,0.0,gti,0,4.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 21:00:00,2026-02-24,0.0,gti,66,3.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 22:00:00,2026-02-24,0.0,gti,38,2.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-24 23:00:00,2026-02-24,0.0,gti,100,1.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
