time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-03-13 00:00:00,2026-03-13,0.0,gti,6,5.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 01:00:00,2026-03-13,0.0,gti,0,5.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 02:00:00,2026-03-13,0.0,gti,0,6.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 03:00:00,2026-03-13,0.0,gti,0,5.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 04:00:00,2026-03-13,0.0,gti,0,3.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 05:00:00,2026-03-13,0.0,gti,0,2.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 06:00:00,2026-03-13,0.0,gti,56,2.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 07:00:00,2026-03-13,15.2,gti,0,3.4,0.0,0.0,0.0,0.82,0.10220479999999998,1.0,0.10220479999999998
2026-03-13 08:00:00,2026-03-13,76.5,gti,54,3.9,0.0,0.0,0.0,0.82,0.5143859999999999,1.0,0.5143859999999999
2026-03-13 09:00:00,2026-03-13,222.2,gti,100,6.6,0.0,0.0,0.0,0.82,1.4940727999999996,1.0,1.4940727999999996
2026-03-13 10:00:00,2026-03-13,393.3,gti,49,8.8,0.0,0.0,0.0,0.82,2.6445491999999997,1.0,2.6445491999999997
2026-03-13 11:00:00,2026-03-13,547.1,gti,100,11.0,0.0,0.0,0.0,0.82,3.6787003999999994,1.0,3.6787003999999994
2026-03-13 12:00:00,2026-03-13,639.1,gti,9,13.2,0.0,0.0,0.0,0.82,4.2973083999999995,1.0,4.2973083999999995
2026-03-13 13:00:00,2026-03-13,750.6,gti,82,14.6,0.0,0.0,0.0,0.82,5.047034399999999,1.0,5.047034399999999
2026-03-13 14:00:00,2026-03-13,646.4,gti,14,15.6,0.0,0.0,0.0,0.82,4.346393599999999,1.0,4.346393599999999
2026-03-13 15:00:00,2026-03-13,662.3,gti,58,16.1,0.0,0.0,0.0,0.82,4.453305199999999,1.0,4.453305199999999
2026-03-13 16:00:00,2026-03-13,489.7,gti,59,15.7,0.0,0.0,0.0,0.82,3.2927427999999996,1.0,3.2927427999999996
2026-03-13 17:00:00,2026-03-13,289.4,gti,98,15.1,0.0,0.0,0.0,0.82,1.9459255999999998,1.0,1.9459255999999998
2026-03-13 18:00:00,2026-03-13,58.6,gti,0,13.2,0.0,0.0,0.0,0.82,0.39402639999999994,1.0,0.39402639999999994
2026-03-13 19:00:00,2026-03-13,0.0,gti,10,11.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 20:00:00,2026-03-13,0.0,gti,3,10.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 21:00:00,2026-03-13,0.0,gti,0,9.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 22:00:00,2026-03-13,0.0,gti,0,8.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-03-13 23:00:00,2026-03-13,0.0,gti,0,7.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
