time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-03 00:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,84,7.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 01:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,68,6.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 02:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,5,5.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 03:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,12,5.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 04:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,7,4.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 05:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,0,3.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 06:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,0,3.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 07:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,6.0,gti,0,3.0,0.0,0.0,0.0,0.82,0.04034399999999999,1.0,0.04034399999999999
2026-04-03 08:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,51.0,gti,0,4.5,0.0,0.0,0.0,0.82,0.34292399999999995,1.0,0.34292399999999995
2026-04-03 09:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,150.3,gti,0,6.3,0.0,0.0,0.0,0.82,1.0106172,1.0,1.0106172
2026-04-03 10:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,343.2,gti,0,8.3,0.0,0.0,0.0,0.82,2.3076768,1.0,2.3076768
2026-04-03 11:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,544.4,gti,0,10.1,0.0,0.0,0.0,0.82,3.660545599999999,1.0,3.660545599999999
2026-04-03 12:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,716.4,gti,0,11.5,0.0,0.0,0.0,0.82,4.817073599999999,1.0,4.817073599999999
2026-04-03 13:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,838.1,gti,0,13.2,0.0,0.0,0.0,0.82,5.6353843999999995,1.0,5.6353843999999995
2026-04-03 14:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,771.8,gti,97,14.0,0.0,0.0,0.0,0.82,5.189583199999999,1.0,5.189583199999999
2026-04-03 15:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,445.6,gti,82,13.6,0.0,0.0,0.0,0.82,2.9962143999999995,1.0,2.9962143999999995
2026-04-03 16:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,539.8,gti,60,13.9,0.0,0.0,0.0,0.82,3.629615199999999,1.0,3.629615199999999
2026-04-03 17:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,356.4,gti,95,13.5,0.0,0.0,0.0,0.82,2.3964335999999995,1.0,2.3964335999999995
2026-04-03 18:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,310.9,gti,36,13.1,0.0,0.0,0.0,0.82,2.090491599999999,1.0,2.090491599999999
2026-04-03 19:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,168.5,gti,37,12.2,0.0,0.0,0.0,0.82,1.1329939999999998,1.0,1.1329939999999998
2026-04-03 20:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,8.1,gti,44,9.9,0.0,0.0,0.0,0.82,0.05446439999999999,1.0,0.05446439999999999
2026-04-03 21:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,62,7.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 22:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,13,7.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-03 23:00:00,2026-04-03,2026-04-03 06:26:00,2026-04-03 19:27:00,0.0,gti,3,6.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
