time,date,sunrise,sunset,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-04-28 00:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,100,8.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 01:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,86,7.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 02:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,40,6.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 03:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,90,5.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 04:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,91,5.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 05:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,90,4.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 06:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,1.9,gti,87,4.0,0.0,0.0,0.0,0.82,0.012775599999999998,1.0,0.012775599999999998
2026-04-28 07:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,44.5,gti,41,5.4,0.0,0.0,0.0,0.82,0.29921799999999993,1.0,0.29921799999999993
2026-04-28 08:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,88.8,gti,97,8.7,0.0,0.0,0.0,0.82,0.5970911999999999,1.0,0.5970911999999999
2026-04-28 09:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,248.1,gti,100,10.9,0.0,0.0,0.0,0.82,1.6682243999999997,1.0,1.6682243999999997
2026-04-28 10:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,420.3,gti,100,13.0,0.0,0.0,0.0,0.82,2.8260971999999995,1.0,2.8260971999999995
2026-04-28 11:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,605.1,gti,100,14.9,0.0,0.0,0.0,0.82,4.068692399999999,1.0,4.068692399999999
2026-04-28 12:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,764.0,gti,100,15.7,0.0,0.0,0.0,0.82,5.137135999999999,1.0,5.137135999999999
2026-04-28 13:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,842.5,gti,100,16.5,0.0,0.0,0.0,0.82,5.664969999999999,1.0,5.664969999999999
2026-04-28 14:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,802.6,gti,100,17.0,0.0,0.0,0.0,0.82,5.396682399999999,1.0,5.396682399999999
2026-04-28 15:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,780.2,gti,98,17.3,0.0,0.0,0.0,0.82,5.246064799999999,1.0,5.246064799999999
2026-04-28 16:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,769.4,gti,63,17.5,0.0,0.0,0.0,0.82,5.173445599999999,1.0,5.173445599999999
2026-04-28 17:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,596.5,gti,100,16.2,0.0,0.0,0.0,0.82,4.010866,1.0,4.010866
2026-04-28 18:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,361.5,gti,100,15.2,0.0,0.0,0.0,0.82,2.4307259999999995,1.0,2.4307259999999995
2026-04-28 19:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,107.5,gti,100,14.1,0.0,0.0,0.0,0.82,0.7228299999999999,1.0,0.7228299999999999
2026-04-28 20:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,33.6,gti,100,12.4,0.0,0.0,0.0,0.82,0.22592640000000003,1.0,0.22592640000000003
2026-04-28 21:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,100,10.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 22:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,49,9.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-04-28 23:00:00,2026-04-28,2026-04-28 05:37:00,2026-04-28 20:05:00,0.0,gti,29,8.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
