time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-02-25 00:00:00,2026-02-25,0.0,gti,0,0.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 01:00:00,2026-02-25,0.0,gti,14,0.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 02:00:00,2026-02-25,0.0,gti,4,0.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 03:00:00,2026-02-25,0.0,gti,36,0.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 04:00:00,2026-02-25,0.0,gti,54,0.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 05:00:00,2026-02-25,0.0,gti,76,0.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 06:00:00,2026-02-25,0.0,gti,55,0.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 07:00:00,2026-02-25,0.8,gti,59,0.9,0.0,0.0,0.0,0.82,0.0053792,1.0,0.0053792
2026-02-25 08:00:00,2026-02-25,54.3,gti,35,1.4,0.0,0.0,0.0,0.82,0.3651131999999999,1.0,0.3651131999999999
2026-02-25 09:00:00,2026-02-25,181.2,gti,25,3.8,0.0,0.0,0.0,0.82,1.2183887999999998,1.0,1.2183887999999998
2026-02-25 10:00:00,2026-02-25,315.2,gti,1,6.2,0.0,0.0,0.0,0.82,2.1194048,1.0,2.1194048
2026-02-25 11:00:00,2026-02-25,386.5,gti,100,7.8,0.0,0.0,0.0,0.82,2.598826,1.0,2.598826
2026-02-25 12:00:00,2026-02-25,465.0,gti,37,9.2,0.0,0.0,0.0,0.82,3.1266599999999998,1.0,3.1266599999999998
2026-02-25 13:00:00,2026-02-25,459.2,gti,69,10.3,0.0,0.0,0.0,0.82,3.087660799999999,1.0,3.087660799999999
2026-02-25 14:00:00,2026-02-25,335.0,gti,88,10.5,0.0,0.0,0.0,0.82,2.2525399999999998,1.0,2.2525399999999998
2026-02-25 15:00:00,2026-02-25,268.2,gti,67,10.5,0.0,0.0,0.0,0.82,1.8033767999999997,1.0,1.8033767999999997
2026-02-25 16:00:00,2026-02-25,196.2,gti,44,10.3,0.0,0.0,0.0,0.82,1.3192487999999998,1.0,1.3192487999999998
2026-02-25 17:00:00,2026-02-25,84.0,gti,50,9.2,0.0,0.0,0.0,0.82,0.564816,1.0,0.564816
2026-02-25 18:00:00,2026-02-25,5.0,gti,23,7.3,0.0,0.0,0.0,0.82,0.03362,1.0,0.03362
2026-02-25 19:00:00,2026-02-25,0.0,gti,0,5.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 20:00:00,2026-02-25,0.0,gti,0,4.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 21:00:00,2026-02-25,0.0,gti,0,4.0,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 22:00:00,2026-02-25,0.0,gti,0,3.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-25 23:00:00,2026-02-25,0.0,gti,0,2.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
