time,date,irr_wm2,irr_source,cloud_cover,temperature_2m,rain,snowfall,snow_depth,pr_used,pv_kw_pred,snow_factor,step_kwh
2026-02-20 00:00:00,2026-02-20,0.0,gti,100,-1.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 01:00:00,2026-02-20,0.0,gti,100,-1.9,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 02:00:00,2026-02-20,0.0,gti,100,-2.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 03:00:00,2026-02-20,0.0,gti,100,-2.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 04:00:00,2026-02-20,0.0,gti,100,-2.3,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 05:00:00,2026-02-20,0.0,gti,100,-2.4,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 06:00:00,2026-02-20,0.0,gti,100,-2.6,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 07:00:00,2026-02-20,0.0,gti,100,-2.7,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 08:00:00,2026-02-20,31.8,gti,100,-2.8,0.0,0.0,0.0,0.82,0.2138232,1.0,0.2138232
2026-02-20 09:00:00,2026-02-20,139.2,gti,78,-2.3,0.0,0.0,0.0,0.82,0.9359807999999997,1.0,0.9359807999999997
2026-02-20 10:00:00,2026-02-20,235.8,gti,100,-1.6,0.0,0.0,0.0,0.82,1.5855191999999998,1.0,1.5855191999999998
2026-02-20 11:00:00,2026-02-20,334.0,gti,100,-0.5,0.0,0.0,0.0,0.82,2.2458159999999996,1.0,2.2458159999999996
2026-02-20 12:00:00,2026-02-20,370.0,gti,100,0.2,0.0,0.0,0.0,0.82,2.4878799999999996,1.0,2.4878799999999996
2026-02-20 13:00:00,2026-02-20,281.5,gti,100,0.6,0.0,0.0,0.0,0.82,1.8928059999999995,1.0,1.8928059999999995
2026-02-20 14:00:00,2026-02-20,275.8,gti,91,1.0,0.0,0.0,0.0,0.82,1.8544791999999997,1.0,1.8544791999999997
2026-02-20 15:00:00,2026-02-20,301.0,gti,84,1.2,0.0,0.0,0.0,0.82,2.0239239999999996,1.0,2.0239239999999996
2026-02-20 16:00:00,2026-02-20,185.0,gti,100,1.0,0.0,0.0,0.0,0.82,1.2439399999999998,1.0,1.2439399999999998
2026-02-20 17:00:00,2026-02-20,63.2,gti,29,0.3,0.0,0.0,0.0,0.82,0.4249568,1.0,0.4249568
2026-02-20 18:00:00,2026-02-20,2.2,gti,29,-0.4,0.0,0.0,0.0,0.82,0.0147928,1.0,0.0147928
2026-02-20 19:00:00,2026-02-20,0.0,gti,81,-1.2,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 20:00:00,2026-02-20,0.0,gti,78,-1.5,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 21:00:00,2026-02-20,0.0,gti,73,-1.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 22:00:00,2026-02-20,0.0,gti,73,-2.1,0.0,0.0,0.0,0.82,0.0,1.0,0.0
2026-02-20 23:00:00,2026-02-20,0.0,gti,78,-2.8,0.0,0.0,0.0,0.82,0.0,1.0,0.0
